"marketingCost","zip"
"1.84","89825"
"18","77047"
"2.45","11040"
"2.32","80913"
"2.43","80911"
"1.51","80910"
"1.11","80917"
"2.89","80916"
"3.77","80915"
"2.76","80914"
"1.87","80919"
"2.32","80918"
"2.21","80435"
"1.87","49969"
"2.76","49968"
"2.08","67675"
"2.38","49961"
"1.92","49964"
"1.25","49967"
"3.15","29416"
"3.44","41035"
"3.55","41092"
"3.32","41031"
"2.81","41030"
"2.98","68713"
"3.01","73047"
"3.39","29414"
"3.24","68716"
"4.75","68715"
"0.95","68714"
"1.82","40346"
"0.81","40347"
"3.25","40342"
"0.8","73045"
"5.03","44313"
"2.52","47618"
"1.3","29945"
"3.26","67230"
"4.18","67233"
"3.86","73044"
"5.61","67235"
"1.59","29940"
"2.72","40348"
"3.82","38461"
"2.11","56302"
"3.1","38463"
"2.04","65048"
"4.26","81253"
"2.08","62265"
"2.34","58478"
"2.17","62266"
"2.71","62260"
"2.83","62263"
"1.0","47968"
"3.12","28546"
"1.93","28547"
"1.88","28012"
"4.09","62269"
"2.1","58474"
"3.31","28540"
"3.04","47960"
"8.73","34222"
"9.04","34223"
"1.0","30273"
"5.32","34221"
"1.63","30274"
"4.65","34224"
"3.27","30276"
"18","76040"
"0.8","30278"
"12.56","34228"
"8.68","34229"
"18","76044"
"18","79066"
"18","79065"
"18","79064"
"3.21","97131"
"0.8","48353"
"3.09","47612"
"1.41","35179"
"1.59","53072"
"1.74","98665"
"1.64","35175"
"3.3","53073"
"3.08","31202"
"2.39","35173"
"2.56","35172"
"1.61","70055"
"3.94","70054"
"3.7","97135"
"2.58","80218"
"10.86","33909"
"3.56","72927"
"18","91316"
"14.89","79245"
"2.88","72923"
"2.58","97137"
"18","91311"
"3.68","70503"
"1.96","31201"
"2.12","59434"
"16.12","79248"
"3.16","18036"
"3.97","70501"
"3.83","36528"
"3.07","30095"
"2.88","30094"
"2.39","30097"
"3.07","30096"
"2.47","30091"
"5.45","70744"
"3.82","30093"
"1.41","30092"
"1.92","31328"
"1.55","31329"
"2.53","71909"
"3.75","31324"
"2.65","31326"
"1.18","52140"
"2.91","31320"
"2.94","31321"
"3.32","31322"
"3.35","57068"
"1.9","47341"
"2.0","47340"
"18","91322"
"1.34","47346"
"15.65","93649"
"3.09","59349"
"11.59","93647"
"18","93646"
"18","93645"
"3.12","47348"
"6.89","93643"
"1.86","87712"
"18","93641"
"17.94","93640"
"2.39","61761"
"1.22","61760"
"3.67","87821"
"3.43","61764"
"0.92","41098"
"1.74","61769"
"17.31","90032"
"2.29","49685"
"4.14","38948"
"3.07","41002"
"1.56","73747"
"1.22","73741"
"3.08","73742"
"1.86","05494"
"2.44","30812"
"2.2","71674"
"2.44","73832"
"2.78","59714"
"3.32","41006"
"0.8","41007"
"3.61","72434"
"3.58","72437"
"0.95","72430"
"1.49","72433"
"2.99","72432"
"2.27","23451"
"18","77865"
"5.41","23452"
"3.23","23455"
"1.75","23454"
"2.24","29672"
"1.68","29202"
"2.49","27299"
"0.93","27298"
"1.74","73834"
"2.6","29203"
"2.93","27293"
"2.91","27292"
"3.21","27291"
"0.8","51652"
"1.24","27295"
"18","92842"
"3.02","73521"
"18","92840"
"3.5","29201"
"13.25","95814"
"14.75","95815"
"17.98","92844"
"15.91","92845"
"18","95818"
"14.69","95819"
"1.54","39119"
"4.35","73448"
"18","95635"
"3.87","96542"
"2.86","74552"
"1.8","96540"
"3.93","74802"
"0.8","29204"
"2.17","74801"
"2.26","57064"
"2.01","55918"
"8.98","32333"
"1.64","42445"
"1.57","55912"
"1.55","12778"
"4.02","50402"
"4.7","32334"
"2.84","42440"
"17.82","91768"
"3.62","98499"
"3.07","98498"
"2.68","97760"
"2.0","97761"
"5.03","69333"
"4.83","44139"
"3.79","30725"
"4.76","98444"
"2.0","42066"
"2.13","38139"
"1.84","64869"
"5.06","98117"
"3.47","64865"
"4.27","64861"
"3.17","64863"
"2.84","64862"
"18","93529"
"3.24","63128"
"18","76443"
"2.71","37056"
"14.36","33901"
"18","79311"
"1.12","27552"
"1.67","38133"
"2.01","03226"
"2.41","71276"
"2.33","98111"
"3.09","65401"
"4.03","65402"
"18","91710"
"18","94128"
"1.93","97856"
"12.83","33906"
"3.77","68450"
"1.6","81639"
"2.0","81328"
"3.97","72837"
"3.82","81323"
"1.11","81630"
"3.15","81321"
"3.06","30728"
"2.65","81635"
"4.32","81326"
"1.69","26164"
"1.01","81636"
"1.55","46256"
"3.06","49201"
"4.89","46254"
"2.27","49203"
"1.43","49756"
"3.08","49757"
"0.96","46250"
"4.85","97857"
"2.32","46928"
"3.8","85533"
"2.91","49759"
"3.25","63855"
"0.8","55449"
"2.35","85534"
"0.8","46259"
"18","75603"
"16.8","75602"
"16.55","75601"
"18","75607"
"18","75606"
"18","75605"
"18","75604"
"18","75608"
"1.72","55816"
"2.64","22911"
"12.69","94038"
"1.71","53295"
"4.18","55422"
"1.16","36052"
"2.68","38402"
"17.05","94030"
"3.07","38401"
"11.94","94035"
"3.38","54929"
"18","94037"
"4.88","45690"
"2.38","53012"
"2.92","57040"
"3.22","70079"
"3.62","57042"
"2.66","57045"
"1.78","53017"
"1.62","53014"
"2.27","53015"
"2.8","57049"
"14.61","90232"
"18","90231"
"18","90230"
"18","95227"
"1.17","70075"
"2.37","54893"
"4.02","54891"
"3.09","58641"
"10.27","33469"
"3.16","54548"
"2.62","58645"
"9.77","33465"
"1.94","11954"
"14.56","33467"
"2.85","36054"
"9.97","33461"
"8.72","33460"
"13.11","33463"
"8.01","33462"
"2.18","52722"
"2.27","98591"
"3.49","62988"
"3.15","52726"
"2.74","62458"
"1.87","27980"
"2.3","68380"
"2.17","62454"
"3.4","62987"
"10.26","33001"
"2.51","62450"
"2.22","62451"
"1.46","70381"
"1.84","70380"
"3.15","80215"
"2.57","60638"
"1.68","60639"
"2.28","60634"
"3.63","54927"
"2.02","60636"
"3.09","60637"
"2.97","60630"
"2.31","60631"
"2.61","60632"
"2.35","60633"
"2.01","64017"
"2.55","36529"
"3.58","28758"
"3.22","81006"
"3.24","36523"
"2.22","36522"
"0.95","36033"
"0.8","36502"
"4.24","36035"
"3.52","36526"
"4.36","36037"
"0.9","55427"
"3.07","54769"
"2.74","54768"
"3.35","84660"
"0.8","84663"
"2.23","84662"
"3.6","31046"
"2.18","54763"
"1.72","67738"
"18","79372"
"3.62","71018"
"2.58","54767"
"4.12","54766"
"1.74","48153"
"2.82","48152"
"3.94","87002"
"3.43","48150"
"2.11","87004"
"2.2","81007"
"1.81","48154"
"1.76","87008"
"3.33","62673"
"2.54","62670"
"2.53","48158"
"4.18","48401"
"2.22","62677"
"3.57","62674"
"2.83","62675"
"2.3","67002"
"3.07","71108"
"2.6","83241"
"1.31","83246"
"2.09","39750"
"2.86","56161"
"3.03","67005"
"0.8","37909"
"3.26","39759"
"2.72","71654"
"0.8","71655"
"18","78292"
"1.46","71653"
"4.93","44070"
"2.45","71658"
"15.93","78299"
"5.5","44077"
"12.94","76385"
"18","76384"
"18","76380"
"2.24","37902"
"2.16","68966"
"4.11","68967"
"2.49","68960"
"18","76389"
"2.32","72833"
"2.41","50542"
"1.13","24133"
"3.04","15658"
"2.06","59116"
"5.43","44826"
"0.92","29001"
"2.87","29550"
"3.24","29551"
"3.2","29556"
"3.08","55049"
"2.47","29006"
"16.52","95348"
"18","76161"
"18","92317"
"0.84","71754"
"2.37","37924"
"18","78072"
"18","78071"
"2.13","48176"
"1.57","37920"
"0.96","37921"
"4.37","37922"
"4.02","37923"
"2.92","71038"
"3.32","62618"
"1.88","37928"
"2.43","51012"
"18","91107"
"16.83","76561"
"2.4","55704"
"18","91788"
"17.97","91789"
"10.92","91784"
"18","91785"
"18","76569"
"13.86","91780"
"1.09","72601"
"3.24","39325"
"2.27","39326"
"2.57","39327"
"2.84","39320"
"3.26","51016"
"1.38","62615"
"2.82","27973"
"18","93531"
"14.59","92377"
"1.42","39328"
"1.55","38075"
"1.7","63047"
"13.41","95319"
"8.39","95318"
"3.37","51024"
"15.61","95313"
"18","95311"
"18","95310"
"15.76","95317"
"18","95316"
"11.58","95315"
"2.22","62611"
"2.51","66451"
"2.04","81131"
"3.07","66609"
"2.2","66608"
"2.69","66607"
"3.91","66606"
"2.07","66605"
"1.66","66604"
"2.57","66603"
"2.45","66601"
"2.69","55706"
"1.51","06605"
"5.4","34788"
"2.23","61379"
"10.75","34785"
"1.51","61377"
"17.79","34787"
"2.72","61375"
"3.4","61373"
"2.57","61370"
"2.65","61371"
"18","77380"
"18","77381"
"1.58","82931"
"12.67","92782"
"18","77384"
"18","77385"
"18","77386"
"3.05","40402"
"18","77388"
"18","77389"
"3.56","40409"
"2.23","51026"
"2.64","81658"
"3.11","71440"
"1.66","24401"
"18","92104"
"1.76","67063"
"3.59","99672"
"2.47","28753"
"0.8","28752"
"1.88","28751"
"1.85","28209"
"1.88","28208"
"2.04","28755"
"0.8","28754"
"2.31","28205"
"1.91","28204"
"0.8","28207"
"1.07","28206"
"2.23","28203"
"3.12","71443"
"2.66","87021"
"2.02","83228"
"0.8","36313"
"1.42","61516"
"2.12","41274"
"2.56","49911"
"3.82","81402"
"3.42","81401"
"2.63","84035"
"15.14","93254"
"0.8","96375"
"18","93256"
"1.95","96377"
"18","93250"
"18","93251"
"18","93252"
"17.7","93258"
"3.57","96379"
"1.45","36319"
"2.69","55760"
"6.01","32839"
"2.58","55767"
"1.6","55764"
"2.54","55702"
"10.98","32835"
"12.49","32526"
"5.67","32837"
"9.61","32836"
"0.8","19403"
"4.28","61459"
"11.61","32833"
"2.94","32832"
"3.49","56583"
"3.2","61030"
"3.84","56587"
"3.6","56586"
"1.67","56585"
"1.81","56584"
"3.06","56589"
"2.09","56232"
"3.16","72038"
"2.82","80544"
"2.19","49096"
"12.69","96150"
"17.25","96151"
"7.56","96152"
"17.18","93433"
"18","93434"
"18","96155"
"18","93436"
"9.07","93437"
"18","96158"
"3.85","57724"
"18","92267"
"1.28","02038"
"4.22","65650"
"9.41","32789"
"3.14","65652"
"3.42","65655"
"1.91","65656"
"2.47","51601"
"3.53","65658"
"12.6","32781"
"10.44","32780"
"18","92595"
"9.18","32784"
"2.61","60137"
"2.25","60136"
"0.8","60135"
"3.2","60134"
"10.39","79382"
"2.91","60131"
"3.2","60130"
"3.01","52002"
"3.15","52003"
"2.67","52001"
"2.14","56055"
"2.94","60139"
"3.85","60138"
"1.36","36202"
"2.36","36203"
"2.62","36201"
"1.88","36206"
"2.67","36207"
"1.9","36204"
"4.73","43983"
"2.65","81008"
"2.72","25443"
"2.81","74129"
"3.42","74128"
"3.11","42056"
"2.3","42050"
"1.77","40601"
"4.03","80209"
"1.18","42053"
"1.85","80207"
"3.28","85326"
"2.66","80205"
"3.56","80204"
"2.5","80751"
"1.18","80202"
"2.08","85321"
"2.3","74126"
"2.81","98004"
"1.6","98005"
"1.82","98006"
"1.31","98007"
"3.43","98001"
"0.8","98002"
"2.08","98003"
"1.45","46001"
"2.53","98008"
"18","75839"
"14.62","96124"
"3.98","99201"
"1.36","99203"
"4.03","99202"
"2.87","99205"
"2.37","99204"
"4.87","99207"
"3.5","99206"
"3.16","99209"
"1.95","99208"
"18","79095"
"1.95","47881"
"16.55","93926"
"18","93927"
"12.67","93924"
"9.66","93925"
"18","93922"
"18","93923"
"9.04","93921"
"18","95555"
"18","95554"
"0.9","47551"
"18","95551"
"6.72","32860"
"18","95553"
"4.2","42633"
"2.49","42635"
"4.05","55708"
"2.27","58573"
"2.25","69193"
"2.23","97203"
"1.27","97202"
"2.26","97201"
"2.77","98264"
"1.79","97206"
"3.8","97205"
"3.83","97204"
"2.13","97209"
"3.02","97208"
"1.47","48757"
"1.44","41739"
"2.55","55047"
"18","90008"
"17.9","90009"
"3.12","70719"
"13.94","90004"
"9.38","90005"
"2.39","70714"
"12.56","90007"
"2.25","70712"
"3.0","46517"
"3.8","70710"
"16.35","90003"
"2.42","63446"
"2.57","63111"
"3.42","63112"
"3.72","63113"
"2.81","63114"
"2.28","63115"
"4.18","63116"
"1.76","63117"
"4.61","63118"
"2.78","63119"
"1.24","63448"
"1.43","46510"
"3.95","54952"
"10.0","33073"
"8.75","33070"
"8.65","33071"
"13.73","33076"
"2.89","46513"
"13.9","33074"
"8.35","32445"
"16.36","92312"
"11.57","76577"
"2.68","41230"
"2.61","48366"
"2.4","48367"
"4.39","48360"
"2.33","41234"
"4.55","48362"
"2.86","48363"
"2.5","62867"
"2.89","84057"
"2.6","84054"
"1.73","62864"
"2.34","62863"
"4.99","45314"
"3.6","84050"
"1.12","62860"
"1.71","97833"
"1.75","03223"
"2.85","62808"
"5.11","43410"
"2.73","49415"
"3.55","49946"
"1.3","49417"
"2.0","49411"
"1.59","49410"
"1.93","49412"
"1.19","80970"
"4.0","49419"
"2.0","49418"
"3.45","49948"
"2.38","68771"
"18","75070"
"3.99","37227"
"3.02","47954"
"4.51","86039"
"3.46","68776"
"1.57","68779"
"1.87","96271"
"2.96","71033"
"2.4","48092"
"2.94","48093"
"3.17","48090"
"3.56","48091"
"2.06","48096"
"3.11","48097"
"2.08","48094"
"4.23","48095"
"5.04","45069"
"2.32","48098"
"2.2","48099"
"2.97","17350"
"3.52","59859"
"2.15","68114"
"1.51","47959"
"18","75076"
"2.59","40360"
"3.37","40361"
"3.33","40362"
"3.19","28002"
"3.08","28564"
"3.37","58324"
"2.68","58454"
"2.74","28560"
"3.24","28001"
"3.79","28562"
"0.8","28563"
"2.13","28552"
"1.94","58329"
"18","75938"
"0.8","62243"
"4.62","30204"
"0.8","62241"
"2.88","62240"
"18","76710"
"0.9","62246"
"8.68","79007"
"1.65","30205"
"18","79009"
"18","79008"
"3.91","62249"
"2.05","30206"
"14.8","34208"
"3.91","98365"
"5.06","47957"
"4.74","30529"
"2.54","30528"
"3.8","30259"
"1.23","30258"
"1.47","30257"
"9.18","34201"
"1.6","34202"
"3.55","34203"
"1.93","30521"
"3.39","30252"
"2.18","30523"
"4.08","34207"
"18","78716"
"12.82","78717"
"18","78714"
"1.12","98366"
"18","92313"
"2.01","28217"
"18","78711"
"1.52","54963"
"2.23","35151"
"18","76058"
"18","78718"
"17.54","78719"
"1.6","28692"
"2.31","28693"
"4.79","28690"
"18","92659"
"18","75680"
"2.23","28697"
"1.96","28694"
"18","79057"
"2.98","28698"
"18","75932"
"2.17","56127"
"4.2","60460"
"4.23","35082"
"1.29","72003"
"1.97","80729"
"4.56","72004"
"3.51","98344"
"3.67","30209"
"2.66","67217"
"4.03","67216"
"5.1","67215"
"2.12","67214"
"1.54","67213"
"2.29","67212"
"2.77","67211"
"3.48","67210"
"1.68","67749"
"2.25","67748"
"18","76050"
"2.31","64783"
"3.1","67219"
"1.16","67218"
"2.32","35180"
"2.87","66439"
"1.49","70302"
"0.8","38565"
"2.6","38564"
"2.98","80720"
"0.91","35183"
"3.03","49737"
"2.91","42518"
"3.34","98952"
"2.4","47320"
"18","75258"
"1.77","47327"
"11.62","76540"
"4.62","97845"
"1.66","59327"
"2.47","59324"
"2.06","80723"
"2.12","59323"
"2.82","61749"
"3.41","61748"
"1.82","61747"
"2.17","87801"
"1.95","61745"
"2.11","61744"
"2.43","61742"
"1.35","61741"
"3.11","61740"
"3.67","29615"
"3.85","29614"
"3.63","29617"
"3.22","29616"
"1.47","73726"
"2.89","29610"
"4.57","73724"
"2.97","56128"
"1.85","68814"
"3.36","62878"
"18","75684"
"2.12","54406"
"2.02","72413"
"1.15","53950"
"2.37","72411"
"4.07","72417"
"3.03","72416"
"2.29","72415"
"1.97","37095"
"2.77","72419"
"18","78842"
"2.34","54402"
"18","78840"
"18","78841"
"1.83","54403"
"3.02","42726"
"3.87","70589"
"4.8","72231"
"18","92868"
"17.2","92869"
"1.84","50076"
"18","92648"
"18","92649"
"1.42","50073"
"2.01","50072"
"15.25","92316"
"18","92861"
"18","92314"
"18","92647"
"4.78","39175"
"18","92865"
"12.36","92866"
"18","92311"
"8.04","32310"
"12.63","32311"
"13.65","32312"
"4.78","97019"
"9.28","32314"
"12.09","32643"
"5.99","32640"
"6.16","32641"
"3.59","74824"
"3.84","74825"
"2.84","74826"
"2.82","74827"
"0.82","74820"
"2.79","74821"
"3.45","55939"
"1.51","80231"
"1.71","70353"
"0.8","58223"
"2.88","55991"
"18","77591"
"18","77590"
"13.46","32621"
"2.24","57048"
"18","77598"
"1.74","42649"
"18","76364"
"3.08","96618"
"3.79","72122"
"3.08","64841"
"2.88","97376"
"1.3","64847"
"4.68","64844"
"4.1","21113"
"1.72","21117"
"0.8","38256"
"1.82","46917"
"1.71","49252"
"6.42","32628"
"18","75449"
"18","75448"
"3.08","56241"
"2.79","65462"
"3.47","65463"
"18","75446"
"3.65","65466"
"10.87","96013"
"1.71","65464"
"18","75442"
"18","77623"
"18","77622"
"4.29","81615"
"18","93020"
"18","77627"
"7.47","77626"
"18","77625"
"18","77624"
"7.93","32233"
"2.5","86321"
"18","76366"
"2.59","74883"
"16.27","96017"
"16.72","92106"
"2.56","74881"
"14.21","92105"
"16.03","91376"
"4.32","49779"
"3.89","39305"
"4.98","46278"
"1.91","96722"
"4.99","49770"
"3.47","39302"
"2.42","80235"
"2.08","49774"
"2.34","40965"
"18","95330"
"17.35","94017"
"17.93","75668"
"18","94015"
"18","94014"
"1.63","38425"
"15.43","94011"
"12.51","94010"
"18","75661"
"18","75663"
"18","75662"
"18","75667"
"14.18","94018"
"18","90251"
"12.46","90250"
"3.06","54896"
"18","90255"
"13.13","90254"
"2.79","30061"
"2.76","56751"
"18","91328"
"2.74","53574"
"1.4","53038"
"3.31","53039"
"1.89","61078"
"2.92","57069"
"1.45","63638"
"2.06","57066"
"2.06","53032"
"1.33","53033"
"2.65","57063"
"3.55","97630"
"2.26","53036"
"3.36","53037"
"4.25","62474"
"18","78468"
"3.43","62476"
"2.25","54568"
"1.98","37765"
"1.61","62471"
"3.62","37370"
"3.05","54563"
"13.4","33442"
"12.49","33193"
"10.55","33440"
"9.5","33447"
"13.75","33446"
"12.83","33445"
"9.66","33196"
"1.67","52748"
"18","75685"
"2.83","72913"
"3.35","27964"
"3.38","27966"
"3.85","52745"
"2.06","52747"
"2.68","27962"
"1.36","36541"
"3.98","36016"
"3.2","60659"
"2.23","36545"
"1.93","36544"
"1.47","36547"
"3.46","36010"
"1.76","36549"
"3.52","36548"
"2.83","60650"
"2.5","60651"
"4.02","60656"
"4.56","60657"
"3.11","60655"
"1.44","63877"
"1.64","63876"
"0.8","85044"
"1.31","65775"
"3.72","63873"
"3.05","85043"
"1.86","85040"
"3.67","85041"
"0.8","65772"
"1.45","24077"
"3.09","85048"
"2.07","61852"
"3.81","62650"
"2.8","84642"
"18","78463"
"1.58","84647"
"15.7","93553"
"3.4","62656"
"2.5","84648"
"0.8","48139"
"3.81","48138"
"0.94","48429"
"1.25","48428"
"13.62","34949"
"8.33","34947"
"4.09","48130"
"1.77","48133"
"1.72","48420"
"4.46","48135"
"4.02","60504"
"3.06","48137"
"3.22","48136"
"3.19","39773"
"2.58","39772"
"18","95765"
"18","95762"
"12.48","95763"
"1.37","67020"
"2.82","12306"
"1.81","83262"
"1.63","83263"
"3.08","67024"
"3.95","67025"
"1.45","67026"
"1.97","37040"
"2.33","11385"
"18","78279"
"18","78278"
"2.42","71635"
"11.41","32568"
"2.15","71638"
"1.27","71639"
"1.64","74147"
"18","76369"
"1.95","41776"
"4.05","62875"
"11.98","76365"
"2.77","04769"
"18","76367"
"3.21","68901"
"9.46","33585"
"15.86","76360"
"4.22","59936"
"1.69","74083"
"2.76","29578"
"1.52","63304"
"3.5","63301"
"0.8","74080"
"2.24","63303"
"3.01","56209"
"1.68","29571"
"1.83","29572"
"3.44","40845"
"2.75","29574"
"3.43","29575"
"1.41","29576"
"3.62","29577"
"1.31","37766"
"9.92","33990"
"1.95","37764"
"1.94","54744"
"2.86","37762"
"5.21","37763"
"1.69","37760"
"2.8","54740"
"1.96","18629"
"18","78013"
"18","78015"
"18","78014"
"11.7","78017"
"7.23","78016"
"3.49","72324"
"3.13","15904"
"4.04","30755"
"2.25","30752"
"0.8","30753"
"3.03","30750"
"18","76501"
"8.95","76503"
"18","76502"
"18","76504"
"18","92411"
"12.34","95370"
"16.52","92413"
"3.7","39341"
"16.76","95375"
"3.02","39347"
"16.73","95376"
"13.33","95379"
"4.41","37098"
"8.69","78934"
"4.56","65484"
"2.73","35973"
"2.08","50248"
"2.62","31598"
"0.8","50246"
"3.55","50247"
"2.05","50244"
"0.8","50242"
"2.91","50243"
"3.97","80539"
"2.7","47512"
"2.32","61125"
"18","92665"
"1.58","47516"
"4.04","81154"
"2.04","05641"
"4.29","98640"
"3.97","71375"
"3.57","08848"
"0.8","42444"
"0.8","65483"
"3.07","40423"
"2.72","40422"
"3.05","08889"
"12.67","77369"
"18","77367"
"18","77364"
"15.42","77365"
"18","77362"
"18","77363"
"18","77360"
"3.05","50135"
"2.84","41543"
"2.09","66083"
"2.05","81236"
"0.8","66085"
"1.94","11023"
"2.56","27551"
"11.66","33622"
"4.19","66088"
"2.51","48054"
"2.45","81230"
"2.16","28739"
"2.8","28738"
"2.65","72626"
"3.26","41540"
"3.2","72623"
"0.8","28731"
"5.66","27802"
"2.63","28221"
"4.03","28732"
"3.99","28227"
"1.72","28226"
"2.57","28225"
"1.66","28736"
"2.51","06489"
"16.29","93044"
"18","95991"
"2.75","48050"
"5.47","95993"
"14.04","95992"
"2.68","27801"
"2.36","06484"
"4.25","81428"
"3.79","64426"
"4.34","43214"
"10.27","91046"
"1.57","86340"
"3.05","86341"
"3.07","86342"
"4.18","81423"
"0.99","81424"
"1.42","81425"
"18","93230"
"3.39","86435"
"3.31","69103"
"2.43","60189"
"18","93235"
"3.75","04401"
"18","93238"
"2.61","96319"
"2.81","72952"
"0.98","61354"
"14.45","91507"
"12.76","91504"
"7.31","32818"
"2.11","61350"
"18","91041"
"2.24","55038"
"14.08","91501"
"10.8","32812"
"1.77","51041"
"8.61","32810"
"2.7","55744"
"3.92","55033"
"4.25","55746"
"1.36","96853"
"3.01","56219"
"18","95043"
"1.01","56211"
"2.92","56210"
"2.41","56215"
"3.57","64496"
"2.66","99710"
"2.02","35202"
"1.65","35979"
"2.17","35453"
"14.22","93457"
"2.77","35456"
"3.14","62814"
"17.17","75185"
"10.75","75207"
"3.65","39236"
"3.91","28071"
"18","75754"
"11.2","33930"
"16.77","79704"
"2.47","62239"
"3.37","98063"
"2.31","61530"
"2.61","82082"
"2.33","61533"
"3.98","61534"
"3.1","35978"
"2.47","61536"
"1.98","61537"
"3.4","65676"
"1.94","65674"
"2.82","65673"
"3.28","65672"
"3.68","82732"
"2.85","69358"
"3.15","64108"
"2.86","64109"
"2.73","64106"
"3.55","72951"
"3.08","69356"
"1.93","69357"
"2.21","64102"
"1.66","60482"
"1.91","60481"
"1.71","60480"
"2.18","74107"
"3.89","74106"
"2.03","74105"
"3.62","74104"
"2.6","74451"
"2.42","74450"
"2.41","74101"
"2.62","74452"
"1.93","27208"
"3.08","74108"
"1.85","42032"
"4.27","46060"
"2.23","42031"
"2.26","46065"
"2.79","46064"
"3.64","42035"
"2.49","46069"
"4.56","42038"
"2.72","72326"
"2.62","31770"
"18","75758"
"18","75852"
"2.1","52245"
"2.66","52246"
"1.57","98061"
"1.81","52240"
"2.12","52241"
"3.05","98064"
"2.57","98065"
"1.67","97045"
"2.07","97044"
"18","75833"
"1.84","52248"
"1.41","97040"
"4.59","97042"
"2.23","59521"
"1.52","38001"
"1.73","53192"
"2.16","53191"
"1.94","80501"
"1.71","61570"
"2.13","55080"
"4.47","99224"
"2.0","99223"
"2.1","80502"
"3.2","65636"
"3.66","80481"
"1.68","80480"
"4.45","80483"
"3.64","80503"
"15.36","93908"
"2.52","16928"
"1.82","62810"
"11.39","32102"
"18","95573"
"17.78","93905"
"16.46","93906"
"18","93907"
"18","93901"
"18","93902"
"1.06","61826"
"18","77410"
"0.94","61824"
"3.16","68332"
"1.11","42215"
"3.13","61820"
"2.19","61821"
"9.4","92112"
"3.39","57219"
"4.13","87419"
"2.62","97269"
"1.81","97268"
"3.36","56073"
"1.56","56072"
"2.14","56071"
"3.31","98286"
"2.46","54943"
"2.12","98284"
"1.55","84632"
"3.04","98283"
"1.87","97267"
"1.51","97266"
"16.27","90068"
"16.03","90069"
"17.5","95685"
"18","95684"
"18","95687"
"2.31","57301"
"18","90062"
"18","90063"
"18","90061"
"17.32","90066"
"17.28","77048"
"15.35","90064"
"10.56","90065"
"1.44","30356"
"1.81","63468"
"1.8","21702"
"2.7","57107"
"8.16","32805"
"2.1","63460"
"3.2","63461"
"3.16","63462"
"1.38","46346"
"1.06","84074"
"2.71","84075"
"1.6","84070"
"1.79","54970"
"2.27","54971"
"14.59","33052"
"9.3","33054"
"10.25","33055"
"13.16","33056"
"2.12","48302"
"3.41","48303"
"2.0","48301"
"1.65","48306"
"4.53","48307"
"2.72","48304"
"1.69","48309"
"1.81","85705"
"1.27","85704"
"1.34","85707"
"2.48","85706"
"3.5","85701"
"3.69","85703"
"2.65","85702"
"2.89","40165"
"2.86","40162"
"0.92","85708"
"1.14","40160"
"2.26","47236"
"2.57","37681"
"3.56","37680"
"2.82","49431"
"1.76","37682"
"2.01","49437"
"0.8","49436"
"2.97","49435"
"3.49","37686"
"2.72","37688"
"1.73","47234"
"3.84","42733"
"3.28","49283"
"3.35","68029"
"0.8","68028"
"1.75","68759"
"2.36","68758"
"3.06","68025"
"0.8","68756"
"2.65","98936"
"1.45","98937"
"2.31","98930"
"1.92","68023"
"1.73","68022"
"1.2","70734"
"2.67","59833"
"3.59","70737"
"1.12","70730"
"1.74","59837"
"0.8","70732"
"3.61","70733"
"4.2","59542"
"3.66","70739"
"2.58","59015"
"3.46","37384"
"3.28","14031"
"2.63","30295"
"16.97","78480"
"4.38","71172"
"1.87","36763"
"2.03","54946"
"1.63","28502"
"2.43","58301"
"2.21","28501"
"3.91","28504"
"18","79766"
"4.38","54493"
"1.3","68979"
"2.66","27571"
"18","77094"
"3.46","30298"
"2.2","41534"
"2.06","51048"
"18","79029"
"13.51","92674"
"2.87","38756"
"3.91","62220"
"3.77","62223"
"4.22","62222"
"1.11","62225"
"18","92677"
"3.07","62226"
"18","92676"
"18","92673"
"2.05","30503"
"3.53","73533"
"0.8","30501"
"3.03","30507"
"2.85","30506"
"3.3","30504"
"0.84","89701"
"2.22","89703"
"2.59","89702"
"0.8","78738"
"14.51","77092"
"1.67","68850"
"4.12","89706"
"18","78734"
"18","78735"
"16.08","78736"
"18","77093"
"14.63","78730"
"18","78731"
"18","78732"
"12.01","78733"
"16.99","96009"
"3.32","55362"
"2.55","55965"
"1.57","85754"
"11.38","32508"
"1.01","67665"
"3.53","51358"
"1.96","28396"
"2.17","36017"
"18","77098"
"18","77807"
"18","92678"
"3.21","83703"
"2.93","83702"
"3.43","29903"
"2.74","29902"
"1.47","83706"
"4.47","83705"
"2.68","83704"
"2.4","46977"
"2.9","83709"
"2.76","52630"
"0.8","07945"
"3.85","89832"
"1.86","47305"
"2.76","47304"
"1.28","47303"
"3.66","47302"
"2.71","89835"
"2.08","66419"
"2.14","28344"
"3.54","66414"
"17.14","92661"
"2.73","28345"
"0.8","27701"
"0.8","27703"
"1.33","27705"
"2.24","27704"
"1.99","27707"
"2.02","27706"
"3.52","51450"
"3.45","27708"
"11.93","96126"
"2.41","39572"
"17.88","93093"
"2.61","97862"
"0.8","97867"
"2.18","97865"
"18","76179"
"3.55","97869"
"1.46","97868"
"4.26","19352"
"2.14","59301"
"0.94","35131"
"3.4","35130"
"3.01","29631"
"2.09","31107"
"3.63","35135"
"4.28","83851"
"2.92","98027"
"3.99","09821"
"2.42","73701"
"2.05","39483"
"2.26","29638"
"8.39","94522"
"18","78645"
"1.05","74738"
